product_id,product_url,brand,product_name,category,price,rating
pimprod2057051,https://www.ulta.com/p/complexion-rescue-luminous-hydrating-skin-tint-stick-with-magnesium-pimprod2057051,bareMinerals,COMPLEXION RESCUE Luminous Hydrating Skin Tint Stick with Magnesium - Opal 01,Tinted Moisturizer,$39.50,4.5
pimprod2049741,https://www.ulta.com/p/complexion-rescue-tinted-moisturizer-with-hyaluronic-acid-mineral-spf-30-pimprod2049741,bareMinerals,COMPLEXION RESCUE Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30 - Opal 01,Tinted Moisturizer,$39.50,4.4
pimprod2049595,https://www.ulta.com/p/barepro-24hr-skin-perfecting-talc-free-matte-powder-foundation-pimprod2049595,bareMinerals,BAREPRO 24HR Skin Perfecting Talc-Free Matte Powder Foundation - Light 25 Warm,Foundation,$42.00,4.5
pimprod2043221,https://www.ulta.com/p/barepro-24hr-wear-skin-perfecting-matte-liquid-foundation-mineral-spf-20-pimprod2043221,bareMinerals,BAREPRO 24HR Wear Skin-Perfecting Matte Liquid Foundation Mineral SPF 20 - Deep 65 Neutral,Foundation,$44.00,4.0
pimprod2052850,https://www.ulta.com/p/original-talc-free-pressed-powder-foundation-mineral-spf-15-pimprod2052850,bareMinerals,ORIGINAL Talc-Free Pressed Powder Foundation Mineral SPF 15 - Fair 01,Foundation,$39.50,4.6
pimprod2049733,https://www.ulta.com/p/complexion-rescue-natural-matte-tinted-moisturizer-mineral-spf-30-pimprod2049733,bareMinerals,COMPLEXION RESCUE Natural Matte Tinted Moisturizer Mineral SPF 30 - Opal 01,Tinted Moisturizer,$39.50,4.2
pimprod2049596,https://www.ulta.com/p/gen-nude-powder-blush-pimprod2049596,bareMinerals,GEN NUDE Powder Blush - Call My Blush,Blush,$29.00,4.3
pimprod2052830,https://www.ulta.com/p/original-liquid-mineral-brightening-concealer-pimprod2052830,bareMinerals,ORIGINAL Liquid Mineral Brightening Concealer - Fair 1W,Concealer,$31.00,4.3
pimprod2049591,https://www.ulta.com/p/original-mineral-veil-talc-free-pressed-setting-powder-pimprod2049591,bareMinerals,ORIGINAL Mineral Veil Talc-Free Pressed Setting Powder - Translucent,Setting Spray & Powder,$36.00,4.5
pimprod2046677,https://www.ulta.com/p/barepro-16hr-all-over-skin-perfecting-matte-concealer-mineral-spf-25-pimprod2046677,bareMinerals,BAREPRO 16HR All Over Skin-Perfecting Matte Concealer Mineral SPF 25 - Fair 100 Cool​,Concealer,$32.00,4.6
pimprod2031864,https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864,bareMinerals,GEN NUDE BLONZER Blush + Bronzer - Kiss of Copper,Blush,$29.00,4.7
pimprod2053501,https://www.ulta.com/p/prime-time-original-blurring-foundation-primer-pimprod2053501,bareMinerals,PRIME TIME Original Blurring Foundation Primer - 1.0 oz,Travel Size Makeup,$31.00,4.5
pimprod2039778,https://www.ulta.com/p/gen-nude-highlighting-blush-pimprod2039778,bareMinerals,GEN NUDE Highlighting Blush - Mauve Glow,Blush,$29.00,4.7
pimprod2025826,https://www.ulta.com/p/mineralist-talc-free-eyeshadow-palette-pimprod2025826,bareMinerals,MINERALIST Talc-Free Eyeshadow Palette - Ultranatural,Eyeshadow Palettes,$33.00,4.2
pimprod2025825,https://www.ulta.com/p/mineralist-lasting-eyeliner-pimprod2025825,bareMinerals,MINERALIST Lasting Eyeliner - Sapphire,Eyeliner,$23.00,4.4
pimprod2052867,https://www.ulta.com/p/skinlongevity-butter-drench-hydrating-moisturizer-with-peptides-pimprod2052867,bareMinerals,SKINLONGEVITY Butter Drench Hydrating Moisturizer with Peptides,Face Moisturizer,$45.00,4.6
pimprod2039214,https://www.ulta.com/p/beautiful-finish-brush-pimprod2039214,bareMinerals,Beautiful Finish Brush,Makeup Brushes,$39.00,4.5
pimprod2049180,https://www.ulta.com/p/lip-gloss-balm-pimprod2049180,bareMinerals,Lip Gloss-Balm - Heart,Lip Gloss,$24.00,4.6
pimprod2036902,https://www.ulta.com/p/prime-time-hydrate-glow-primer-pimprod2036902,bareMinerals,PRIME TIME Hydrate & Glow Primer,Face Primer,$31.00,4.3
pimprod2049742,https://www.ulta.com/p/mini-complexion-rescue-tinted-moisturizer-with-hyaluronic-acid-mineral-spf-30-pimprod2049742,bareMinerals,Mini COMPLEXION RESCUE Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30 - Opal 01,Travel Size Makeup,$23.00,4.4
pimprod2052869,https://www.ulta.com/p/skinlongevity-nourishing-barrier-boosting-serum-with-niacinamide-pimprod2052869,bareMinerals,SKINLONGEVITY Nourishing Barrier Boosting Serum with Niacinamide - 1.6 oz,Face Serums,$74.00,4.6
pimprod2016877,https://www.ulta.com/p/strength-length-serum-infused-mascara-pimprod2016877,bareMinerals,Strength & Length Serum Infused Mascara,Mascara,$15.40,4.1
pimprod2053046,https://www.ulta.com/p/precision-face-brush-pimprod2053046,bareMinerals,Precision Face Brush,Makeup Brushes,$36.00,4.7
pimprod2052460,https://www.ulta.com/p/original-get-started-kit-3-piece-mineral-makeup-set-pimprod2052460,bareMinerals,The ORIGINAL Get Started Kit 3-Piece Mineral Makeup Set - Fair,Makeup & Nail Gifts,$42.00,4.7
pimprod2039215,https://www.ulta.com/p/smoothing-face-foundation-brush-pimprod2039215,bareMinerals,Smoothing Face Foundation Brush,Makeup Brushes,$34.00,4.4
pimprod2050722,https://www.ulta.com/p/original-mineral-veil-24hr-natural-matte-setting-spray-pimprod2050722,bareMinerals,ORIGINAL Mineral Veil 24HR Natural Matte Setting Spray,Setting Spray & Powder,$36.00,4.7
pimprod2052870,https://www.ulta.com/p/skinlongevity-revitalizing-eye-cream-with-niacinamide-pimprod2052870,bareMinerals,SKINLONGEVITY Revitalizing Eye Cream with Niacinamide,Eye Cream,$44.00,4.6
pimprod2039216,https://www.ulta.com/p/full-flawless-face-brush-pimprod2039216,bareMinerals,Full Flawless Face Brush,Makeup Brushes,$34.00,3.9
pimprod2044820,https://www.ulta.com/p/complexion-rescue-liquid-blonzer-blush-bronzer-pimprod2044820,bareMinerals,COMPLEXION RESCUE Liquid Blonzer Blush + Bronzer - Kiss of Copper,Blush,$28.00,4.5
pimprod2040524,https://www.ulta.com/p/original-pure-serum-radiant-natural-liquid-foundation-mineral-spf-20-pimprod2040524,bareMinerals,Original Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20 - Medium Warm 3,Foundation,$44.00,3.8
pimprod2039237,https://www.ulta.com/p/mini-mineral-veil-setting-powder-pimprod2039237,bareMinerals,Mini Mineral Veil Setting Powder,Setting Spray & Powder,$21.00,4.5
pimprod2052868,https://www.ulta.com/p/skinlongevity-cushion-cloud-gentle-foaming-cleanser-pimprod2052868,bareMinerals,SKINLONGEVITY Cushion Cloud Gentle Foaming Cleanser,Face Wash,$28.00,4.6
pimprod2031609,https://www.ulta.com/p/maximist-phyto-fiber-volumizing-mascara-pimprod2031609,bareMinerals,MAXIMIST Phyto-Fiber Volumizing Mascara,Mascara,$15.40,4.0
pimprod2045195,https://www.ulta.com/p/original-mineral-veil-set-protect-talc-free-setting-powder-mineral-spf-25-pa-pimprod2045195,bareMinerals,ORIGINAL​ Mineral Veil​ Set + Protect Talc-Free ​Setting Powder ​Mineral SPF 25 PA++​ - 0.18 oz,Setting Spray & Powder,$36.00,4.3
pimprod2045186,https://www.ulta.com/p/complexion-rescue-liquid-highlighting-blush-pimprod2045186,bareMinerals,COMPLEXION RESCUE Liquid Highlighting Blush - Mauve Glow,Blush,$28.00,4.1
pimprod2045193,https://www.ulta.com/p/skin-rescue-pure-smooth-serum-with-5-niacinamide-chebula-pimprod2045193,bareMinerals,SKIN RESCUE Pure Smooth Serum with 5% Niacinamide and Chebula,Face Serums,$65.00,4.7
